a,а
a,один
ability,способность
able,способный
able-bodied,способный
abort,отменить
abortion,аборты
about,о
above,сверху
abroad,за рубежом
absence,отсутствие
absent,отсутствовать
absolute,абсолютный
absolutely,абсолютно
absorb,въедаться
absorption,вхождение
abstract,абстрактный
abstraction,абстракция
abundance,обилие
accelerate,ускорять
acceleration,ускорение
accent,акцент
accents,акценты
accentuate,подчеркнуть
accept,принимать
acceptance,прием
access,доступ
accessibility,доступность
acclaim,хвалить
acclaimed,высоко оцененный
accommodate,комфортно
accommodation,жилье
accomplice,содеятельник
accord,соглашение
according,поэтому
account,счет
accountable,отвечать
accounting,бухгалтерия
accounts,счёта
ache,болеть
aching,болевой
acknowledge,признать
acknowledgment,пожалование
acoustic,акустический
acoustics,акустика
across,через
act,действовать
acting,играть
action,дія
actions,действия
active,активный
activism,активизм
activities,деятельность
activity,дейтельность
actor,актер
acts,действия
actually,на самом деле
acute,острый
ad,реклама
adamant,предупредителен
add,добавлять
add,добавить
added,добавлен
addiction,зависимость
addictive,зависимый
additional,дополнительный
address,адрес
addresses,адреса
adjust,регулировать
administration,администрация
administrative,административный
administrator,администратор
admission,принятие
admit,пускать
admonish,осуждать
advance,напереди
advanced,развитый
advancement,подъем
advantage,полезность
advantages,преимущества
adventure,авантюра
adventurous,авантюрный
advertising,реклама
advice,совет
advisable,рекомендация
advise,советовать
advised,советованный
adviser,консультант
advising,советовать
affect,воздействие
affected,подвергнутся воздействию
affection,любовь
affectionate,ласковый
affiliation,ассоциация
affinity,симпатию
affirm,подтверждать
afford,собираться
affordable,доступный
affray,качество
afloat,на поверхности
afraid,напуганный
after,после
aftermath,последствия
afternoon,день
again,заново
against,против
age,возраст
age-old,древний
agency,агентство
agent,агент
agents,агенты
aggravate,ухудшать
aging,старение
ago,раньше
ago,ранее
ah,ах
ahead,напереди
aid,содействовать
aiding,помогает
air,воздух
airborne,воздушный
airline,авиакомпания
airplane,самолет
airport,аэропорт
airports,аэропорты
alarm,тревога
alas,к сожалению
albedo,отражение
alert,благонадежность
alerted,упредить
alertness,сознательность
alienate,отделить
alive,живой
all,все
alley,улица
alliance,союз
allow,разрешать
allow,разрешить
allowance,платёж
allowed,разрешенный
alloy,сплав
almost,почти
alone,один
along,плоскостью
along,вокруг
already,уже
also,также
alter,изменить
alternative,альтернативный
alternatively,иначе
although,хотя
always,заметь
always,всегда
amaze,замечательный
amazon,амазон
ambient,окружающий
ambitious,ambitiosus
amen,да
america,америка
american,американец
among,между
amount,количество
ample,изобильный
amplify,усилить
analyse,анализировать
analysis,анализ
analyst,аналитик
ancestor,предок
ancient,древний
and,и
angel,ангел
anger,гнев
animal,животное
animals,животные
animation,анимация
anneal,выплавлять
annual,ежегодный
another,другой
answer,ответить
answers,ответы
anthropology,антропология
anti-,антис
antibody,антиген
anticipate,ожидать
anticipation,ожидание
anticipatory,предвосхищающийся
anticlimax,антивзрыв
antique,старый
antiquity,древность
anxiety,тревога
any,какой-либо
any,кто-либо
anybody,кто угодно
anything,что-либо
anything,что угодно
apollo,аполлон
apologize,извиниться
appeal,апелляция
appealing,привлекательный
appear,являться
appear,появиться
appearance,внешний вид
append,добавлять
appointment,назначение
appreciate,оценить
approach,подход
approval,утверждение
approved,утвержденный
approximate,приблизительный
arbitrary,арбитрарный
architecture,архитектура
archive,архив
area,область
area,площадь
arena,арена
argue,спорить
argument,аргумент
arguments,аргументы
arianne,ариадна
around,вокруг
arrange,установлять
arrangement,расположение
arrow,стрела
art,искусство
article,статья
articles,статьи
arts,искусства
as,как
ascertain,определить
ash,пепел
ashen,пепелиный
asia,азия
aside,вокруг
ask,спросить
asked,запрошенный
askew,неконсервативный
aspect,аспект
aspire,мечтать
aspiring,настойчивый
assent,подтверждение
assertion,утверждение
assertive,откровеннный
assign,задавать
assignment,назначение
assist,помогать
assistance,содействие
assisted,поддерживать
assistive,помощный
associate,ассоциировать
associated,связанный
associates,ассоциировать
association,ассоциация
associative,ассоциирующийся
astounding,шокирующий
asylum,асилум
asynchronous,асинхронный
at,в
at,у
ate,поел
athlete,спортсмен
athletic,атлетичный
athletics,спортивные соревнования
attached,прикреплённый
attachment,прикрепление
attain,достигать
attempt,попытка
attendance,наличие
attention,внимание
attentive,внимательный
attract,привлекать
attraction,привлечение
attribute,присвоить
attribution,атрибуция
auction,аукцион
audience,аудитория
audio,звук
audit,ревизия
auditor,ревизор
augment,усилить
august,август
authentic,истинный
author,автор
authority,авторитет
automate,автоматизировать
automated,автоматизированный
automation,автоматизация
