Word,Translation,Rank
ability,способность,1
about,о,2
above,выше,3
abuse,злоупотребление,4
across,через,5
act,действие,6
action,действие,7
actions,действия,8
active,активный,9
activities,активности,10
activity,активность,11
actually,на самом деле,12
add,добавить,13
added,добавлен,14
adding,добавляя,15
address,адрес,16
administration,администрация,17
administer,администрировать,18
admit,признать,19
adolescence,юность,20
adult,взрослый,21
advantage,преимущество,22
advice,совет,23
affect,влияние,24
affected,оказавший воздействие,25
affection,чувство,26
afford,занять,27
afraid,боится,28
after,после,29
against,против,30
age,возраст,31
ages,взрослые,32
agencies,агентства,33
agency,агентство,34
agent,агент,35
agree,поддерживать,36
agreeable,добродушный,37
agreement,соглашение,38
aid,помощь,39
aisle,столбец,40
alarm,тревога,41
alcohol,спиртное,42
alienate,отделить,43
all,все,44
alliance,алиanca,45
allow,допускать,46
almost,почти,47
alone,одиночный,48
along,поgether,49
already,уже,50
also,также,51
aloud,громко,52
altogether,всего,53
always,всегда,54
ambition,амбиция,55
among,среди,56
amount,сумма,57
an,ан,58
anchor,книга,59
and,и,60
animal,животное,61
animals,животные,62
anniversary,день рождения,63
another,другой,64
answer,отвечать,65
answers,ответы,66
antibody,антитело,67
antidepressants,антидепрессанты,68
anti-inflammatory,противовоспалительный,69
any,какой-либо,70
anything,что-либо,71
apart,врозь,72
appear,кажется,73
appearance,внешность,74
apparent,явный,75
appendix,приложение,76
apply,применять,77
application,заявление,78
appoint,назначить,79
appointed,назначенный,80
appointment,назначение,81
approval,допускать,82
approve,поддерживать,83
are,я,84
area,область,85
areas,области,86
argument,аргумент,87
arguments,аргументы,88
ark,архив,89
arm,рука,90
armed,вооруженный,91
arms,рукава,92
around,около,93
arrange,располагать,94
arrival,прибытие,95
artificial,искусственный,96
as,как,97
ask,задавать,98
asking,запрашивать,99
aspect,аспект,100
assembly,сборка,101
assign,назначить,102
assignment,задание,103
associated,ассоциированный,104
association,ассоциация,105
assure,обеспечивать,106
at,у,107
attack,атаковать,108
attempt,попытка,109
attitude,настроение,110
august,август,111
authentic,подлинный,112
author,автор,113
authority,авторитет,114
automatic,автоматический,115
automatically,автоматически,116
available,доступный,117
average,среднее,118
await,ожидать,119
awful,страшный,120
axis,ось,121
baby,ребенок,122
back,спина,123
background,фон,124
bad,плохой,125
bag,рюкзак,126
ball,мяч,127
ban,запретить,128
band,группа,129
bank,банк,130
bar,столик,131
bare,голый,132
base,основание,133
based,на основе,134
basis,основание,135
basic,базовый,136
basically,в общем-то,137
basket,корзина,138
bathe,кадить,139
be,быть,140
beam,пучок,141
bear,носить,142
beat,наносить,143
because,потому что,144
become,становиться,145
been,была,146
before,до,147
begin,начинать,148
being,быть,149
believe,верить,150
beneath,ниже,151
benefit,полезность,152
bequeathed,наследовать,153
best,лучший,154
bet,ставить,155
between,между,156
bias,предвзятость,157
big,большой,158
bike,цикл,159
bill,акт,160
bind,зажимать,161
biological,биологический,162
biology,生物логия,163
bit,кусочек,164
bitter,грубый,165
black,черный,166
blade,пилка,167
blanket,ковер,168
blast,взрыв,169
bleed,кровоточить,170
blend,смешивать,171
block,блокировать,172
blood,кровь,173
blow,дуть,174
blue,синий,175
board,конференция,176
boast,хвастаться,177
bogus,фальшивый,178
bond,замок,179
bone,кость,180
boost,повышать,181
border,граница,182
both,и,183
boundaries,границы,184
bow,представление,185
box,коробка,186
boy,ребенок,187
bracket,рамка,188
brain,мозг,189
branch,ветвь,190
brand,бренд,191
break,сломать,192
breast,сосок,193
brief,краткий,194
bright,яркий,195
brilliant,прекрасный,196
broadly,широко,197
broken,ломанный,198
brother,брат,199
brought,привести,200
bubble,бубен,201
bucket,корзина,202
