English,Russian
Able,способный
Abundance,обилие
Ability,способность
Able-bodied,способный
Abort,отменить
Abortion,аборты
About,о
Above,сверху
Abroad,за рубежом
Absent,отсутствовать
Absence,отсутствие
Absolute,абсолютный
Absolutely,абсолютно
Absorb,въедаться
Absorption,вхождение
Abstract,абстрактный
Abstraction,абстракция
Accelerate,ускорять
Acceleration,ускорение
Accept,принимать
Acceptance,прием
Access,доступ
Accessibility,доступность
Accent,акцент
Accentuate,подчеркнуть
Accents,акценты
Acclaim,хвалить
Acclaimed,высоко оцененный
Accommodate,комфортно
Accommodation,жилье
Accomplice,содеятельник
Accord,соглашение
According,поэтому
Account,счет
Accountable,отвечать
Accounting,бухгалтерия
Accounts,счёта
Ache,болеть
Aching,болевой
Acknowledge,признать
Acknowledgment,пожалование
Acoustic,акустический
Acoustics,акустика
Act,действовать
Acting,играть
Action,дія
Actions,действия
Active,активный
Activism,активизм
Activities,деятельность
Activity,дейтельность
Actor,актер
Acts,действия
Acute,острый
Ad,реклама
Adamant,предупредителен
Add,добавить
Added,добавлен
Addiction,зависимость
Addictive,зависимый
Address,адрес
Addresses,адреса
Adjust,регулировать
Administration,администрация
Administrator,администратор
Administrative,административный
Admission,принятие
Admit,пускать
Admonish,осуждать
Advance,напереди
Advancement,подъем
Advanced,развитый
Advantage,полезность
Advantages,преимущества
Advice,совет
Advisable,рекомендация
Advised,советованный
Adviser,консультант
Advising,советовать
Adventure,авантюра
Adventurous,авантюрный
Advertising,реклама
Advice,совет
Advise,советовать
Affect,воздействие
Affected,подвергнутся воздействию
Affection,любовь
Affectionate,ласковый
Affirm,подтверждать
Affiliation,ассоциация
Affinity,симпатию
Afford,собираться
Affordable,доступный
Affray,качество
Afloat,на поверхности
Afraid,напуганный
Aftermath,последствия
Afternoon,день
Again,опять
Against,против
Age-old,древний
Aggravate,ухудшать
Agency,агентство
Agent,агент
Agents,агенты
Aging,старение
Ah,ах
Ahead,напереди
Aid,помочь
Aid,содействовать
Aiding,помогает
Airborne,воздушный
Airline,авиакомпания
Airplane,самолет
Airport,аэропорт
Airports,аэропорты
Alarm,тревога
Alas,к сожалению
Albedo,отражение
Alert,благонадежность
Alerted,упредить
Alertness,сознательность
Alienate,отделить
Alive,живой
Alley,улица
Alliance,союз
Allow,разрешить
Allowance,платёж
Allowed,разрешенный
Alloy,сплав
Almost,почти
Alone,один
Along,плоскостью
Also,также
Alter,изменить
Alternative,альтернативный
Alternatively,иначе
Always,всегда
Amaze,замечательный
Amazon,амазон
Ambient,окружающий
Ambitious,ambitiosus
Amen,да
America,Америка
American,американец
Among,между
Amount,количество
Ample,изобильный
Amplify,усилить
Analyse,анализировать
Analyst,аналитик
Analysis,анализ
Ancestor,предок
Ancient,древний
And,и
Angel,ангел
Anger,гнев
Animal,животное
Animals,животные
Animation,анимация
Anneal,выплавлять
Annual,ежегодный
Another,другой
Answer,ответить
Answers,ответы
Anticipate,ожидать
Anthropology,антропология
Anti-,антис
Antibody,антиген
Anticipation,ожидание
Anticlimax,антивзрыв
Anticipatory,предвосхищающийся
Antique,старый
Antiquity,древность
Anxiety,тревога
Anybody,кто угодно
Anything,что угодно
Apologize,извиниться
Apollo,аполлон
Appeal,апелляция
Appealing,привлекательный
Appear,являться
Appearance,внешний вид
Append,добавлять
Appointment,назначение
Appreciate,оценить
Approach,подход
Approval,утверждение
Approved,утвержденный
Approximate,приблизительный
Arbitrary,арбитрарный
Architecture,архитектура
Archive,архив
Area,область
Arena,арена
Argue,спорить
Argument,аргумент
Arguments,аргументы
Arianne,ариадна
Around,вокруг
Arrangement,расположение
Arrange,установлять
Arrow,стрела
Art,искусство
Article,статья
Articles,статьи
Arts,искусства
As,как
Ascertain,определить
Ash,пепел
Ashen,пепелиный
Asia,Азия
Ask,спрашивать
Asked,запрошенный
Aspect,аспект
Aside,вокруг
Askew,неконсервативный
Aspire,мечтать
Aspiring,настойчивый
Assent,подтверждение
Assertion,утверждение
Assertive,откровеннный
Assign,задавать
Assignment,назначение
Associates,ассоциировать
Association,ассоциация
Associate,ассоциировать
Associated,связанный
Associative,ассоциирующийся
Assist,помогать
Assisted,поддерживать
Assistance,содействие
Assistive,помощный
Astounding,шокирующий
Asylum,асилум
Asynchronous,асинхронный
At,в
Ate,поел
Athlete,спортсмен
Athletic,атлетичный
Athletics,спортивные соревнования
Attempt,попытка
Attain,достигать
Attached,прикреплённый
Attachment,прикрепление
Attendance,наличие
Attention,внимание
Attentive,внимательный
Attract,привлекать
Attraction,привлечение
Attribute,присвоить
Attribution,атрибуция
Audience,аудитория
Audio,звук
Audit,ревизия
Auction,аукцион
Auditor,ревизор
Augment,усилить
August,август
Authentic,истинный
Author,автор
Authority,авторитет
Automate,автоматизировать
Automated,автоматизированный
Automation,автоматизация
Automaton,автоматон
Autonomous,автономный
Autonomy,автономия
Autopsy,постмортальный анализ
Available,доступный
Avoid,избегать
Avoidance,избежание
Awareness,осведомленность
Awkward,неловкий
Axial,аксиальная
Axis,ось
Baby,малыш
Back,спина
Background,фон
Backward,назад
Bacteria,бактерии
Bad,плохой
Bag,сумка
Baggage,багаж
Bah,плакса
Ball,шарик
Balloon,воздушный шар
Banana,банан
Bank,банк
Bar,стол
Barbarian,варвар
Bare,нагой
Base,основание
Basic,основной
Basket,корзина
Bath,ванна
Battery,аккумулятор
Battle,борьба
Bauhaus,баухаус
Bear,медведь
Beautiful,красивый
Because,потому что
Become,становиться
Bed,кровать
Bedroom,спальня
Before,до
Begin,начинать
Behavior,поведение
Behavioural,поведенческий
Believe,верить
Belief,вера
Bell,колокол
Below,ниже
Benefit,польза
Benign,благоприятный
Bereaved,тревожный
Best,лучший
Betray,изменять
Better,лучше
Between,между
Bias,склонность
Big,большой
Bill,акт
Billy,Билли
Bind,закреплять
Binders,сборники
Birthday,день рождения
Birthplace,место рождения
Bite,куснуть
Black,черный
Blade,нож
Blank,пустой
Blare,разгром
Blast,взрыв
Blend,сливать
Blind,слепой
Bloody,кровавый
Block,блок
Bloodstream,кровеносная система
Blue,синий
Blurry,мутный
Bob,Боб
Boil,кипеть
Bolt,болванка
Bond,связь
Boneless,костиeless
Book,книга
Boot,ботинок
Border,граница
Bore,скучать
Born,родился
Boss,начальник
Botanist,ботаник
Both,оба
Bottom,нижняя часть
Boundary,граница
Bow,лук
Box,коробка
Boy,мальчик
Brainstorming,идея-размышление
Brand,марка
Brass,бронза
Breadth,ширина
Break,перестать
Breaking,ломаясь
Breathing,дыхание
Brief,краткий
Bright,сияющий
Bring,нагнетать
Broadcasting,телевизионное вещание
Bronze,бронза
Brother,брат
Brown,коричневый
Bubble,пузырь
Buckle,болванка
Budget,бюджет
Bug,жучок
Building,здание
Built-in,встроенный
Bulky,большой
Bundle,сборник
Burden,тяжесть
Burn,жечь
Burnout,снижение производительности
Business,дело
Busy,занятый
Buttress,поддерживать
Buzz,мурашить
By,по
Cake,торт
Call,позвать
Calorie,калория
Camera,камера
Campaign,кампания
Can,можно
Cannot,не может
Capital,капитал
Capture,ловить
Car,машина
Card,карта
Care,забота
Careful,осторожный
Carry,нести
Cart,корзина
Case,случай
Castle,замок
Catch,ловить
Cause,причина
Caution,осторожность
Cave,пещера
Cell,клетка
Central,центральный
Centre,центр
Certain,определенный
Chain,цепь
Chair,стул
Challenge,вызов
Change,изменение
Character,характер
Charge,нагрузка
Charity,харитировать
Charles,Шарль
Chart,график
Chase,огонок
Chat,переговоры
Cheap,дешевый
Cheek,щека
Check,проверить
Cheerful,радостный
Chemical,химический
Chemistry,химия
Childhood,детство
Children,дети
Chill,охладить
Choice,выбор
